City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,bokoro,12.3807,17.0568,96.22,12,11,10.09,TD,1743789834
207,selfoss,63.9331,-20.9971,44.28,63,99,9.53,IS,1743789835
208,moroni,-11.7022,43.2551,79.45,80,72,3.94,KM,1743789836
209,la'ie,21.6477,-157.9253,74.59,92,100,7.0,US,1743789838
210,mili,6.0815,171.735,81.12,80,95,19.66,MH,1743789839
211,rifle,39.5347,-107.7831,47.37,54,0,0.0,US,1743789840
212,canto do buriti,-8.11,-42.9444,99.64,22,25,4.36,BR,1743789842
213,kavaratti,10.5669,72.642,84.25,72,39,5.06,IN,1743789843
214,itoman,26.1247,127.6694,63.09,67,99,6.91,JP,1743789846
215,bardai,11.65,7.2333,88.3,6,31,8.84,NG,1743789847
216,sterling,39.0062,-77.4286,70.57,73,100,4.61,US,1743789848
217,qarazhal,48.0078,70.7903,40.19,73,81,11.14,KZ,1743789849
218,gorontalo,0.5412,123.0595,74.03,98,100,3.06,ID,1743789850
219,wailua homesteads,22.0669,-159.378,72.39,87,100,13.8,US,1743789851
220,wotho,10.1657,166.0102,80.64,80,7,18.34,MH,1743789853
221,penaranda de bracamonte,40.9011,-5.2003,46.78,84,100,8.95,ES,1743789854
222,tionk essil,12.7856,-16.5217,84.36,35,40,17.92,SN,1743789855
223,howard springs,-12.497,131.047,78.71,100,100,2.35,AU,1743789856
224,trujillo,-8.116,-79.03,67.96,88,70,11.5,PE,1743789821
225,tari,-11.1105,14.3559,69.28,94,83,3.31,AO,1743789858
226,kirksville,40.1948,-92.5833,44.55,85,100,8.05,US,1743789860
227,kimbe,-5.5502,150.1429,75.69,93,96,3.29,PG,1743789861
228,pervomayskoye,43.919,46.7102,54.66,65,17,7.92,RU,1743789862
229,arno,60.1167,18.6333,44.13,53,68,17.25,SE,1743789863
230,lapinlahti,65.5833,30.5667,22.82,74,100,10.0,RU,1743789864
231,korla,41.7597,86.1469,53.82,27,0,6.76,CN,1743789865
232,winnemucca,40.973,-117.7357,46.45,36,20,9.22,US,1743789866
233,baihe,22.15,107.2333,68.45,83,48,2.06,CN,1743789868
234,klyuchi,52.2667,79.1667,56.48,72,99,32.5,RU,1743789869
235,auki,-8.7676,160.7034,77.02,88,86,2.42,SB,1743789870
236,vernon,50.2581,-119.2691,49.75,43,24,4.61,CA,1743789724
237,santa elena de uairen,4.6167,-61.1333,69.84,85,99,4.09,VE,1743789872
238,zaraza,9.3503,-65.3245,89.35,43,96,3.18,VE,1743789662
239,ulladulla,-35.35,150.4667,57.94,66,89,7.25,AU,1743789874
240,tyukalinsk,55.8732,72.1967,29.95,73,83,16.33,RU,1743789875
241,sao joao da barra,-21.6403,-41.0511,77.09,85,48,11.45,BR,1743789877
242,mount isa,-20.7333,139.5,73.17,68,75,8.05,AU,1743789878
243,bridgewater,44.3835,-64.5155,56.1,60,86,5.99,CA,1743789779
244,arica,-18.475,-70.3042,71.83,68,0,12.66,CL,1743789587
245,zhaotong,27.3167,103.7167,48.0,85,94,6.04,CN,1743789881
246,qurayyat,31.3318,37.3428,69.98,28,0,16.11,SA,1743789882
247,sakaiminato,35.55,133.2333,37.38,100,20,3.44,JP,1743789883
248,el granada,37.5027,-122.4694,64.18,61,0,1.01,US,1743789885
249,wynyard,-41.0,145.7167,44.19,81,52,3.0,AU,1743789886
250,hamilton,39.1834,-84.5333,53.89,95,75,11.5,US,1743789888
251,happy valley-goose bay,53.3168,-60.3315,26.91,46,75,11.5,CA,1743789889
252,pariaman,-0.619,100.12,75.25,92,100,3.33,ID,1743789890
253,brak,27.5496,14.2714,80.55,16,0,11.05,LY,1743789747
